epoch,train_loss,train_acc,test_loss,test_acc
1,0.8206961011009684,0.71496868336887,0.4968642220375644,0.8232484076433121
2,0.44252838605820244,0.8433335554371002,0.4222332948142556,0.8480294585987261
3,0.37579494519337914,0.8676539179104478,0.3728821074507039,0.8705214968152867
4,0.341020133949991,0.8801805703624733,0.34838454729052865,0.8767914012738853
5,0.3174152169416327,0.886693763326226,0.32628776911337665,0.8853503184713376
6,0.29787741189222855,0.8937733208955224,0.32190705389733526,0.8830613057324841
7,0.2839297654309761,0.8982709221748401,0.29972081982595905,0.8939092356687898
8,0.2703958729595772,0.9030517057569296,0.2943306318513907,0.8950039808917197
9,0.2603570281792043,0.906316631130064,0.28937905343474857,0.8977906050955414
10,0.2495643364658742,0.9108808635394456,0.2991119205097484,0.8947054140127388
11,0.2390129799003413,0.9141457889125799,0.2723406308870407,0.9044585987261147
12,0.23234158554581055,0.9164279051172708,0.2726370099054021,0.9026671974522293
13,0.2242273566152241,0.9198427505330491,0.26879979195488485,0.9046576433121019
14,0.21967922751186117,0.9209921375266524,0.26084652993899243,0.9075437898089171
15,0.2117973954470427,0.9244069829424307,0.30714981253169904,0.8885350318471338
16,0.20715990676475105,0.9261560501066098,0.25812844481248004,0.9083399681528662
17,0.2010750216521275,0.927905117270789,0.253038489562311,0.9079418789808917
18,0.1954557345246773,0.9293876599147122,0.2559428562878803,0.9096337579617835
19,0.19123858641852925,0.9313865938166311,0.2507133251827234,0.9120222929936306
20,0.186186709788753,0.9326692430703625,0.29625172758842727,0.895203025477707
21,0.1833793114402147,0.93371868336887,0.24718797206878662,0.9131170382165605
22,0.17550219341651843,0.9364339019189766,0.25590008976543027,0.908937101910828
23,0.1717969375624776,0.9391657782515992,0.23787730163449694,0.9138136942675159
24,0.16730284046079877,0.939415644989339,0.2413193915679956,0.9142117834394905
25,0.16423532343122052,0.941231343283582,0.24804046901927632,0.9128184713375797
26,0.1580286850966116,0.943396855010661,0.2414175154297215,0.9159036624203821
27,0.15438512509970714,0.9449626865671642,0.2375348096440552,0.9163017515923567
28,0.15182646452141468,0.9462120202558635,0.23837862049887895,0.9175955414012739
29,0.1478956506502177,0.9475446428571429,0.2581370105599142,0.9116242038216561
30,0.1445575355609724,0.9480277185501066,0.2519249669305838,0.9125199044585988
31,0.13983633204786253,0.94934368336887,0.2542035961701612,0.9120222929936306
32,0.13697543311149263,0.951209355010661,0.2520790965931051,0.912718949044586
33,0.13351037176345776,0.9515258528784648,0.24748315465203516,0.9161027070063694
34,0.1299998655752428,0.953058368869936,0.2492597504596042,0.9165007961783439
35,0.12674441451190918,0.9544576226012793,0.25083099322239305,0.9177945859872612
36,0.1231019085428036,0.9561733742004265,0.245796205084415,0.9169984076433121
37,0.11899753136516635,0.9576226012793176,0.24904637546486155,0.9153065286624203
38,0.11767863617268706,0.9577392057569296,0.24315681742729656,0.9193869426751592
39,0.11298826399412173,0.9591717750533049,0.25102237574044306,0.917296974522293
40,0.11010001402403881,0.9601046108742004,0.2507191847084434,0.9170979299363057
41,0.10574725881091822,0.9619369669509595,0.25530091196203686,0.9152070063694268
42,0.10123155249912204,0.9639359008528785,0.25913412261540725,0.9170979299363057
43,0.10135954783669412,0.9640025319829424,0.25828787570546385,0.9147093949044586
44,0.09794600160399289,0.9643856609808102,0.25283024479059657,0.9168988853503185
45,0.09577653886003694,0.9661180703624733,0.27166476577615284,0.9156050955414012
46,0.09078514918700846,0.9679670842217484,0.2744699338818811,0.9131170382165605
47,0.08810802556669661,0.9687833155650319,0.2828778861814244,0.9165007961783439
48,0.08594006500882047,0.9693663379530917,0.2747776265356951,0.9181926751592356
49,0.08414272094484983,0.9699993336886994,0.2654747947053924,0.9184912420382165
50,0.07966811135153114,0.9724313699360341,0.2878959894085386,0.9159036624203821
